iter	Passed	Remaining
0	2	203
1	3	185
2	5	179
3	6	167
4	9	181
5	11	185
6	13	181
7	15	177
8	18	184
9	19	179
10	21	174
11	23	172
12	25	167
13	26	165
14	29	165
15	30	162
16	32	159
17	34	155
18	36	153
19	37	151
20	39	148
21	41	146
22	43	145
23	45	143
24	46	140
25	48	138
26	49	134
27	51	131
28	52	128
29	54	126
30	55	123
31	57	121
32	58	118
33	60	116
34	61	114
35	63	112
36	65	111
37	67	109
38	68	107
39	70	105
40	71	103
41	72	100
42	74	98
43	75	96
44	77	95
45	79	92
46	80	91
47	82	89
48	83	87
49	85	85
50	86	83
51	88	81
52	89	79
53	91	78
54	92	75
55	94	73
56	95	72
57	98	71
58	99	69
59	102	68
60	104	66
61	106	64
62	109	64
63	111	62
64	112	60
65	114	58
66	115	57
67	117	55
68	119	53
69	121	51
70	122	50
71	124	48
72	126	46
73	127	44
74	129	43
75	130	41
76	132	39
77	133	37
78	136	36
79	138	34
80	139	32
81	140	30
82	142	29
83	143	27
84	145	25
85	147	23
86	148	22
87	150	20
88	152	18
89	153	17
90	155	15
91	156	13
92	158	11
93	159	10
94	161	8
95	163	6
96	164	5
97	166	3
98	167	1
99	169	0
